Matriculas;Nome;Disciplinas;Tipo;Curso
201894;Fulano;BIO1;G;1
3249;Ciclano;BIO2;G;2
932;Deltrano;BIO1;G;3
839;Nicole;QUI1;P;M
239;Jordao;QUI1;P;M
90;Lucas;BIO1;G;1
123;Luiz;QUI2;P;D
347;Antonio;QUI2;P;D
348;Gustavo;QUI2;P;M
87;Bruno;BIO1;G;1
876;Breno;BIO1;P;M
98;Briza;BIO2;P;M
12;Ricardo;BIO1,QUI1;P;M
451;Douglas;BIO2,QUI2;G;3
1231;Leonardo;QUI1,BIO2;G;3
124;Kassia;QUI2;G;3
893;Carolina;BIO2;G;2
453;Estefani;BIO2;G;2
812;Luana;BIO1;G;1
341;Claudio;QUI1;G;1
765;Andre;BIO2;P;D
