Matrícula;Aluno;Logic-T1;Logic-T2;Média Parcial;Prova Final;Média Final
2012101003;Adalberto Alves;7,00;8,50;7,75;-;7,75
2013011001;Adalberto Vieira;7,00;8,50;7,75;-;7,75
2013020002;Augusto Cesar;8,50;8,50;8,50;-;8,50
2014502001;Jackson Chen;8,50;8,50;8,50;-;8,50
2014502002;Jiraya da Silva;8,50;8,50;8,50;-;8,50
2013020001;Joana Correia;7,00;8,50;7,75;-;7,75
2012101001;Joao Batista;7,00;8,50;7,75;-;7,75
2014502003;Jobede Pereira;8,50;8,50;8,50;-;8,50
2012101004;José Matias;7,00;8,50;7,75;-;7,75
2013011002;Julio Kley;7,00;8,50;7,75;-;7,75
2013011004;Laiane Casagrande;7,00;8,50;7,75;-;7,75
2013011005;Luiz Pinto;7,00;8,50;7,75;-;7,75
2013011003;Marcio Lugano;7,00;8,50;7,75;-;7,75
2014502004;Matusalem Vida Longa;8,50;8,50;8,50;-;8,50
2012101002;Pedro Simas;7,00;8,50;7,75;-;7,75
