Matrícula;Aluno;ECO2-P1;ECO2-P2;Média Parcial;Prova Final;Média Final
20122002;Ahri Éguas;8,50;6,00;7,25;-;7,25
20122001;Amoeba de Massa;6,00;8,00;7,00;-;7,00
20111003;Bridgit Mendler;10,00;5,50;7,75;-;7,75
20131033;Hillary Clintown;5,20;9,20;7,20;-;7,20
20131052;Inês Brasil;0,00;7,00;3,50;6,50;5,00
20100114;Izabella Franca;6,00;9,60;7,80;-;7,80
20100116;Jean Grey;4,00;8,40;6,20;6,50;6,35
20100130;Katarina Noxus;9,50;8,60;9,05;-;9,05
20111004;Paula Fernandes;7,00;10,00;8,50;-;8,50
20100115;Scott Summers;10,00;8,50;9,25;-;9,25
20140112;Shyvanna von Fuego;0,00;8,00;4,00;5,00;4,50
20151002;Tomaz Tomate Frito;3,20;9,50;6,35;2,00;4,18
20122003;Vladmir Pudim;9,60;7,00;8,30;-;8,30
20131034;Wolfverinne Guerra;4,20;3,50;3,85;7,00;5,43
