Matrícula;Aluno;MEP1-P1;MEP1-T1;Média Parcial;Prova Final;Média Final
20142720;Chloe Jahn;1,70;2,40;1,93;10,00;5,97
20146105;Ethan Parcell;0,30;2,40;1,00;7,00;4,00
20156919;Florencio Murley;2,60;2,40;2,53;1,00;1,77
20152536;Kathey Martineau;5,30;2,40;4,33;9,90;7,12
20140436;Lesia Hiney;9,80;5,80;8,47;-;8,47
20152769;Madelyn Reno;4,10;5,80;4,67;4,80;4,73
20150411;Mariela Collette;8,80;5,80;7,80;-;7,80
20143846;Marilyn Goya;6,30;5,80;6,13;9,10;7,62
20149419;Sarai Rake;1,90;2,40;2,07;8,00;5,03
20148434;Troy Scheck;2,50;5,80;3,60;3,70;3,65
