Matrícula;Nome;Disciplinas;Tipo;Curso;
20149575;Sixta Mcgilvery;BIO04766;G;9;
20152536;Kathey Martineau;EPR07958;G;7;
20146105;Ethan Parcell;EPR07958;G;9;
20147162;Rosaline Capel;BIO04766;G;9;
20156919;Florencio Murley;EPR07958;P;M;
20142720;Chloe Jahn;EPR07958;G;7;
20152670;Dirk Beckmann;BIO04766;P;D;
20154507;Celestina Fimbres;BIO04766;G;9;
20143894;Carson Stephenson;BIO04766;G;9;
20149419;Sarai Rake;EPR07958;P;D;
20159112;Kristofer Purpura;BIO04766;P;M;
20143846;Marilyn Goya;EPR07958;G;7;
20152769;Madelyn Reno;EPR07958;P;M;
20156109;Britteny Coaxum;BIO04766;G;9;
20152610;Davida Piercy;BIO04766;G;9;
20140436;Lesia Hiney;EPR07958;P;D;
20148434;Troy Scheck;EPR07958;P;D;
20150411;Mariela Collette;EPR07958;P;M;
20147220;Rod Longmire;BIO04766;G;9;
20144590;Verona Dunbar;BIO04766;G;7;
